Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,215021803024.635,249039201472.146,298667239158.437,396866739846.323,443618622930.995,488780189204.229,517787944694.734,598226227575.171,737668354430.38,878010564507.523,946695394878.416,797443444396.365,773638188119.61,767768364611.26,722367603601.127,729763287270.795,1042300729532.56,1293264309031.56,1395931506849.31,1393674295225.22,1764967921559.13,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2590500887129.79,2501572654016.12,2215937288517.93,2239913304434.81,2196686554442.79,1947208402432.28,1947928411633.11,2076303406738.19,2502313769751.69,2815470573628.01,2857629648053.72,2998619997490.9,3435683000273.75,3746916654460.23,3412975826618.51,3412211920529.8,3751876563803.17,3533242461467.05,3730260571356.51,3852556169656.01,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,2750.71969791916,3180.05572409371,3795.56633238175,5027.66027445753,5617.74146730837,6212.76355716979,6609.75369470899,7653.88499485388,9446.16676151714,11238.3410271633,12092.3823531854,10170.446768798,9876.22807016374,9827.02223775073,9277.93223840253,9393.89174609057,13410.8965823681,16614.409534742,17863.4373641174,17697.1630446353,22219.5721827394,23269.3817972445,26333.537444515,25488.5195189314,27087.5584535617,31715.9978159836,30538.7024971841,27012.1713208407,27300.3032514983,26756.1516771977,23685.3507471519,23654.2827650797,25170.8242069175,30318.5164137544,34120.1912644612,34650.7781763491,36401.4225071544,41762.9089109916,45632.8367808436,41671.3026974748,41725.8500720167,45867.7664803884,43931.6917088564,46254.9765899395,47627.3920783174,..
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1217257318.95223,1302703459.86833,1382546575.15058,1540832049.30663,1731334920.85726,2053508894.80319,2126348228.04314,1747211895.91078,1666830081.38053,1961957054.6132,2214923031.66977,2417093686.55129,2112253320.32716,2465492957.74648,2894409937.8882,2810106382.97872,2765254237.28814,3189428571.42857,3662478184.99127,4020227920.22792,4445228215.76763,4222441860.46512,4035994397.7591,4057275132.27513,4412279843.44423,4504342208.57832,5727602516.4164,5074829931.97279,5197842135.71206,5251765023.26436,5889175186.61304,6603129587.62418,6416078957.68747,5968905457.10661,5446370049.29671,6464389815.79028,6932984532.8415,6891433770.18372,7482072399.08654,7718110850.62547,4982849016.25228,5314871667.26539,6166197225.32987,7632720649.6834,8881419387.78193,10731883141.8984,20409257610.4746,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,48584737986.797,38648154100.3714,..
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,182.983338650138,189.717457595971,195.124380037068,210.973696928598,230.436445632079,266.324671233207,269.46526216769,216.844489344234,202.752198465437,233.640135182378,257.639753098068,273.821109480956,232.535463220941,263.685956000574,301.366675887021,285.829465845508,275.877910684646,312.999343901447,353.709181716461,381.036447598414,411.518045530133,379.797692135315,351.319206999297,341.087077844053,358.396584323875,354.219715656338,437.088938006704,376.46042288959,375.225102968928,368.998250922334,402.588905762752,438.958018516325,414.702372796652,375.231904225937,333.328562596926,385.680644765592,403.803256971548,392.258941440167,416.387662127028,419.817885563872,264.693259198504,275.470387657374,311.610108343454,375.896173100165,426.161674187935,501.735716945151,929.726628584054,1099.02231257957,1234.07990011094,1095.50323245528,1323.09914056856,1587.19087274761,1641.82592182439,1856.90016075247,1442.81681833473,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,4446528164.67559,5016048786.22753,5327573509.09843,5949478034.88751,6680298250.57961,7600579093.1158,8455611129.27936,9136711287.82434,9915140546.35072,11266091570.5718,13188636363.6364,14645454545.4545,16947727272.7273,22430379746.8354,25444318181.8182,28631243358.1297,31267723880.597,36309898242.3682,44433209647.4954,54682612695.4922,57039168665.0679,52539360393.6039,54819387755.102,49611068111.4551,48197097944.3773,47997039230.1999,56587390457.6436,65894816305.9889,76542397309.6325,79460973562.736,98251934651.7627,105530753411.853,116653021094.029,109210166468.49,117031601123.596,137382850419.179,146558465458.664,143310745039.311,144918136746.224,142997762625.186,130580339045.513,136006442953.02,152714285714.286,201547291196.388,239648745964.738,247671558263.898,273278760506.837,318684779633.178,354615643767.394,329856904695.749,299615364238.411,288784959688.629,249524986004.585,242230732091.102,237592274370.978,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,533.686381232649,597.287321012322,630.61394129381,701.62041775285,784.954348432918,888.921997905322,981.652394470053,1052.12099276566,1134.35615147538,1284.21231559082,1499.93487444581,1658.407297338,1906.67527910126,2512.05775673293,2839.12694945607,3164.88294897792,3403.04891415541,3900.7337549312,4711.91970691446,5726.97267873283,5915.38906799301,5400.08946061185,5599.80744242354,5038.38198719776,4870.45949533315,4831.44652670041,5677.35338430548,6589.0895797689,7626.03636069051,7875.61220218647,9673.41563911542,10289.3670940582,11249.2312913233,10435.2275841687,11089.8524570037,12918.7395810081,13685.3205619765,13298.4449353251,13375.1492168094,13140.0607783436,11960.6644687404,12418.6791235659,13903.69055322,18292.0098552546,21676.4309223515,22327.0080874066,24557.8776127202,28548.304446526,31700.4941221594,29485.5098263532,26863.0116050517,25962.3689385998,22494.3781859902,21965.9628890429,21682.598270353,..
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,69520029.2730826,88570999.351486,106101302.474152,140153753.721821,169918944.063056,211192463.686328,240779415.675002,282269773.042773,355987428.402836,420645794.968404,476051769.013942,435749013.870185,402403057.151259,416184086.23097,379371913.715958,412876395.826869,603016317.536303,787390447.323345,898607670.624413,929799902.191124,1018977225.44427,1016500016.28505,1037916105.23293,927214127.934317,1005887592.03539,1208953358.99709,1197515637.92052,1072154406.78905,1149858126.95747,1131555107.04907,1068024993.98697,1086170638.72901,1169136691.35372,1426452030.10471,1644951892.18151,1702543476.55709,1738432116.43728,2121759848.4242,1739579593.56673,1267711816.12426,..,..,..,..,..,..
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,1498.27649295437,1876.50422354843,2196.71433693896,2860.28068820042,3432.70594066779,4257.91257432112,4844.65625100608,5713.96301706019,7235.51683745601,8480.76199533072,9483.10296840521,8544.0983111801,7813.65159517008,7988.17823859827,7198.708040151,7760.83450802386,11271.3330380617,14554.3520762171,16397.9501938761,16813.7414501107,18326.9285151847,18315.3156087397,18768.8264960747,16797.3573901144,18124.1007573944,21665.8308063995,21422.4622168251,19145.6144069473,20496.5798031634,20170.322763798,19004.0034517255,19275.4328079683,20652.8412682386,25129.0765454895,28903.9358328181,29903.284035428,30620.2155288913,37516.7509225391,30883.0349660334,22507.8887155204,..,..,..,..,..,..
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53322221.2805178,67548146.9552048,78314813.4317253,83614813.3381239,87888887.3367152,95229627.9478137,101211109.323658,110099998.055564,128211108.846821,144011108.567783,167229626.676248,184533330.074357,213066662.903774,221070366.466127,241570366.104084,250914810.383499,250259254.839521,261777773.154616,276296291.416728,294651846.648113,304940735.355293,340814808.795808,379629400.70291,520044361.186056,520444175.99381,540336916.383232,591018396.969646,599118582.011777,695370296.296296,698518518.518518,758518518.518518,825925925.925926,771111111.111111,771111111.111111,778518518.518518,800000000,835555555.555555,882222222.222222,..
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,591.240658637252,758.371471373132,884.203784892632,939.450062223315,970.343774073587,1022.97351997308,1054.4910901497,1118.44776570057,1283.3045617106,1438.01158875825,1682.7122556248,1881.78344609442,2199.48862821457,2295.97622152885,2504.4877518437,2581.40153273628,2545.82058187546,2633.49972490383,2755.99025881248,2923.2494012472,3015.4831679139,3364.34432484855,3742.36650568222,5117.53947240756,5109.95862496254,5292.23228582989,5773.299049239,5836.12010882625,6754.38117450337,6764.72286695124,7322.52617141648,7946.63850064393,7393.34513711779,7366.57633588191,7409.52239952906,7584.66380977663,7889.89401102487,8295.53848388064,..
